,situation,risk,latitude,longitude,victims,deadly_victims,length,num_points,in_place,Rain,sliding
147,1,0,-8.0578342311321,-34.8828969000217,0,0,0,0,0,3.5,1
148,1,0,-8.0578342311321,-34.8828969000217,0,0,0,0,0,3.5,1
149,1,0,-8.0578342311321,-34.8828969000217,0,0,0,0,0,75.7,1
150,1,0,-8.078565299,-34.9,0,0,0,0,0,1.0,1
151,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
152,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.6,1
153,1,0,-8.077032598999999,-34.9,0,0,0,0,0,4.0,1
154,1,0,-8.06944,-34.9083752,0,0,0,0,0,0.8,1
155,1,0,-8.0773957,-34.9127292,0,0,0,0,0,71.6,1
156,1,0,-8.077032598999999,-34.9,0,0,0,0,0,14.8,1
157,1,0,-8.068406099,-34.9,0,0,0,0,0,18.6,1
158,1,0,-8.064201299,-34.9,0,0,0,0,0,18.6,1
159,1,0,-8.0773957,-34.9127292,0,0,0,0,0,71.6,1
160,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
161,1,0,-8.0804697,-34.9128216,0,0,0,0,0,0.0,1
162,1,0,-8.077032598999999,-34.9,0,0,0,0,0,1.2,1
163,1,0,-8.077032598999999,-34.9,0,0,0,0,0,1.2,1
164,1,0,-8.0841279,-34.912750700000004,0,0,0,0,0,4.5,1
165,1,0,-8.0782267,-34.9149659,0,0,0,0,0,11.1,1
166,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
167,1,0,-8.079741,-34.9073219,0,0,0,0,0,0.0,1
168,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
169,1,0,-8.077032598999999,-34.9,0,0,0,0,0,5.2,1
170,1,0,-8.083504699,-34.9,0,0,0,0,0,0.0,1
171,1,0,-8.0738691,-34.9132072,0,0,0,0,0,9.7,1
172,1,0,-8.0827776,-34.91147120000001,0,0,0,0,0,0.0,1
173,1,0,-8.083376299,-34.9,0,0,0,0,0,0.0,1
174,1,0,-8.0626201,-34.9077159,0,0,0,0,0,0.0,1
175,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
176,1,0,-8.083825898999999,-34.9,0,0,0,0,0,0.0,1
177,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
178,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
179,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.5,1
