Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
265,Recife (Alto da Brasileira),jul/2016,"3,3","0,0","9,2","0,5","0,8","1,8","3,7","0,0","0,0","0,0","0,8","0,7","21,9","24,3","2,9","1,9","2,5","0,0","0,0","15,9","1,5","0,0","2,0","0,6","4,0","0,1","0,5","2,3","4,2","5,7","4,2","13419,7"
196,Recife (Codecipe / Santo Amaro),jul/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),jul/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),jul/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),jul/2016,"4,4","0,4","4,1","5,4","3,4","2,6","8,2","0,0","0,0","0,6","0,0","4,0","25,0","9,6","1,9","1,4","2,2","0,0","0,0","17,9","0,4","0,0","0,0","3,2","0,3","0,0","2,1","2,0","2,6","5,8","3,6","15807,2"
480,Recife - PCD,jul/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),ago/2016,"0,0","1,5","0,9","2,0","0,4","3,7","3,0","0,0","0,0","3,2","0,0","0,0","0,0","0,0","0,0","5,4","0,0","0,0","0,0","8,4","0,0","7,2","0,0","7,3","0,0","0,0","0,0","6,7","3,3","0,0","11,3","13419,7"
196,Recife (Codecipe / Santo Amaro),ago/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),ago/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),ago/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),ago/2016,"0,0","1,0","2,4","0,5","0,6","1,4","2,0","0,0","0,0","1,7","1,3","0,0","0,0","0,0","1,0","4,4","0,0","0,0","1,2","3,1","0,4","0,0","0,8","13,8","0,0","0,0","0,4","7,8","4,0","0,3","10,2","15807,2"
480,Recife - PCD,ago/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),set/2016,"2,9","0,0","6,5","0,0","2,0","0,0","1,0","0,0","0,0","2,3","18,2","0,0","8,2","0,0","0,4","0,0","0,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,"13419,7"
196,Recife (Codecipe / Santo Amaro),set/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),set/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),set/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),set/2016,"0,0","7,0",-,-,"6,8","1,8","0,4","0,0","0,0","9,0","21,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",-,"15807,2"
480,Recife - PCD,set/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),out/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8","0,0","1,4","0,0","0,0","0,0","0,0","0,0","1,5","0,0","0,0","0,0","7,5","0,0","0,0","0,0","0,0","0,0","0,0","13419,7"
196,Recife (Codecipe / Santo Amaro),out/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),out/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),out/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),out/2016,"0,0","0,0","0,2","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,2","3,2","0,2","2,8","0,0","0,0","0,0","0,9","0,0","0,0","0,0","0,8","0,0","0,0","0,0","0,8","0,0","0,0","1,0","0,4","15807,2"
480,Recife - PCD,out/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),nov/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,9","0,0","0,0","0,0","0,0","0,0","0,0","2,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3","0,0","0,0","0,0",-,"13419,7"
196,Recife (Codecipe / Santo Amaro),nov/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),nov/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),nov/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),nov/2016,"0,0","1,0","1,3","0,0","0,0","3,0","0,0","0,0","0,0","0,5","0,8","0,0","0,0","0,0","5,8","0,0","0,0","1,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,8","0,4","0,0","0,0",-,"15807,2"
480,Recife - PCD,nov/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),dez/2016,"0,0","0,0","0,0","0,0","0,0","0,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,5","0,0","2,4","1,5","0,8","0,0","4,1","0,0","8,9","0,0","0,7","0,0","0,4","0,0","4,5","0,0","13419,7"
196,Recife (Codecipe / Santo Amaro),dez/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),dez/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),dez/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),dez/2016,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","7,8","2,0","17,6","0,4","0,0","9,2","0,6","1,6","14,4","0,0","0,0","0,0","1,8","5,2","5,2","0,0","15807,2"
480,Recife - PCD,dez/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),jan/2017,"0,6","0,0","0,0","0,0","0,7","0,0","0,6","0,0","5,5","0,0","0,0","0,0","0,0","0,0","3,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,1","0,0","0,0","0,0","0,0","0,0","13419,7"
196,Recife (Codecipe / Santo Amaro),jan/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),jan/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),jan/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),jan/2017,"0,8","0,0","0,0","0,0","0,2","0,0","3,8","0,2","2,5","2,0","0,0","1,7","0,0","1,0","2,6","0,0","0,0","0,0","0,0","1,0","0,0","0,6","1,2","0,0","0,0","0,0","8,0","0,0","0,0","1,5","1,6","15807,2"
480,Recife - PCD,jan/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),fev/2017,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8","0,0","0,6","0,0","0,0","0,0","8,7","0,0","13,5","0,0","0,9","0,0","0,0","0,0","0,0","0,0","0,0",-,-,-,"13419,7"
196,Recife (Codecipe / Santo Amaro),fev/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),fev/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),fev/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),fev/2017,"0,2","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4","0,2","0,0","0,0","0,2","0,0","0,0","5,2","0,6","0,6","4,6","3,6","0,6","2,3","0,0","1,0","0,0","0,0",-,-,-,"15807,2"
480,Recife - PCD,fev/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),mar/2017,"0,0","3,5","0,0","3,8","42,3","4,3","0,0","0,0","0,0","3,2","0,0","6,7","8,9","23,5","0,0","0,6","0,0","0,0","0,0","0,0","0,0","0,7","1,5","0,5","0,0","1,7","0,0","0,0","0,0","3,4","16,7","13419,7"
196,Recife (Codecipe / Santo Amaro),mar/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),mar/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),mar/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),mar/2017,"12,4","11,0","0,0","37,6","12,4","1,4","0,0","1,0","8,2","7,6","1,2","26,6","6,6","0,6","0,0","0,0","0,8","0,0","4,0","0,0","0,0","0,0","0,4","2,2","0,0","0,0","0,0","0,0","0,0","0,6","4,6","15807,2"
480,Recife - PCD,mar/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),abr/2017,"0,0","0,0","23,2","0,0","2,5","0,0","3,9","0,0","2,4","3,2","11,4","0,0","55,6","21,3","6,7","0,0","50,4","0,0","1,9","0,0","0,0","0,0","9,1","0,0","8,7","0,0","0,0","1,2","0,9","19,6",-,"13419,7"
