,ID,event
199,8148635419,0
200,8148633318,0
201,8148595219,0
202,8148572418,0
203,8148567919,0
204,8148507818,0
205,8148352418,0
206,8148341019,0
207,8148336918,0
208,8148297318,0
209,8148170318,0
210,8148116719,0
211,8148107819,0
212,8147952619,0
213,8147943719,0
214,8147909319,0
215,8147905819,0
216,8147884019,0
217,8147867919,0
218,8147864019,1
219,8147853018,0
220,8147853018,0
221,8147778818,0
222,8147762219,0
223,8147748019,0
224,8147748019,0
225,8147697818,0
226,8147692618,0
227,8147547618,0
228,8147547419,0
229,8147535818,0
230,8147532918,0
231,8147527319,0
232,8147404018,1
233,8147334019,0
234,8147324519,0
235,8147276019,0
236,8147270418,0
237,8147250119,0
238,8147201019,0
239,8147198019,1
240,8147171618,0
241,8147078419,0
242,8147076318,0
243,8147067418,0
244,8147058319,0
245,8147034719,0
246,8146931519,0
247,8146924018,0
248,8146882419,0
249,8146882419,0
250,8146875819,0
251,8146772419,0
252,8146709019,0
253,8146704919,0
254,8146683318,0
255,8146675018,0
256,8146606719,0
257,8146604419,0
258,8146602119,0
259,8146583918,0
260,8146574018,0
261,8146565919,0
262,8146529219,0
263,8146504019,0
264,8146453619,0
265,8146418619,0
266,8146370518,0
267,8146367418,0
268,8146343619,0
269,8146333019,0
270,8146283518,1
271,8146264018,0
272,8146257418,0
273,8146251419,0
274,8146249118,0
275,8146249118,0
276,8146236519,0
277,8146230918,0
278,8146186819,0
279,8146173319,0
280,8146171218,0
281,8146164419,0
282,8146162119,0
283,8146155519,0
284,8146137719,0
285,8146093019,0
286,8146056719,0
287,8146042818,0
288,8146040518,0
289,8146032218,0
290,8146009919,0
291,8146000119,0
292,8145998919,0
293,8145984819,0
294,8145979419,0
295,8145893418,0
296,8145722518,0
297,8145698519,0
298,8145680919,0
299,8145678419,0
300,8145637619,0
301,8145498619,0
302,8145490519,0
303,8145464419,0
304,8145460018,0
305,8145428018,0
306,8145372418,0
307,8145078918,0
308,8144994118,0
309,8144989619,0
310,8144989619,0
311,8144969519,0
312,8144888519,0
313,8144856619,0
314,8144815018,0
315,8144677618,0
316,8144518518,0
317,8144462018,0
318,8144430018,0
319,8144426318,0
320,8144424018,0
321,8144410018,0
322,8144390719,0
323,8144385319,0
324,8144353618,0
325,8144339318,0
326,8144337018,0
327,8144322318,0
328,8144294018,0
329,8144235318,0
330,8144224019,0
331,8144201019,0
332,8144109619,0
333,8144082019,0
334,8144037519,0
335,8144004118,0
336,8143987118,0
337,8143940518,0
338,8143928319,0
339,8143912118,0
340,8143865318,0
341,8143865318,0
342,8143862418,0
343,8143856418,0
344,8143824518,0
345,8143815618,0
346,8143809618,0
347,8143689018,0
348,8143680318,0
349,8143638718,0
350,8143616318,0
351,8143605118,0
352,8143601618,0
353,8143599118,0
354,8143566618,0
355,8143546518,0
356,8143540519,0
357,8143498919,0
358,8143438818,0
359,8143418718,0
360,8143414118,0
361,8143403018,0
362,8143390319,0
363,8143381618,0
364,8143366519,0
365,8143350318,0
366,8143320718,0
367,8143297518,0
368,8143297518,0
369,8143282818,0
370,8143278018,0
371,8143274518,0
372,8143272218,0
373,8143266218,0
374,8143166619,0
375,8143162218,0
376,8143019319,1
377,8143019319,0
378,8142995919,0
379,8142928118,0
380,8142916318,0
381,8142891018,0
382,8142803219,0
383,8142766019,1
384,8142766019,0
385,8142749819,0
386,8142686619,0
387,8142680819,0
388,8142649518,0
389,8142646419,0
390,8142640619,0
391,8142629219,0
392,8142624019,0
393,8142583418,0
394,8142579718,0
395,8142577418,0
396,8142560219,0
397,8142373018,0
398,8142305219,0
399,8142225919,0
400,8142225018,0
401,8142062219,0
402,8142057919,0
403,8142017719,0
404,8141856718,0
405,8141832919,0
406,8141819219,1
407,8141772619,0
408,8141726419,0
409,8141722919,0
410,8141700519,0
411,8141698019,0
412,8141643318,0
413,8141619319,0
414,8141611219,0
415,8141606919,0
416,8141513218,0
417,8141509319,0
418,8141501219,0
419,8141501219,0
420,8141385418,0
421,8141222818,0
422,8141213918,0
423,8141186019,0
424,8141156319,0
425,8141153618,0
426,8141151318,0
427,8141104518,0
428,8141101618,0
429,8141080719,0
430,8141076118,0
431,8141017518,0
432,8140979619,0
433,8140975218,0
434,8140956818,0
435,8140934418,0
436,8140928418,0
437,8140894019,0
438,8140891119,0
439,8140881619,0
440,8140850518,0
441,8140846818,0
442,8140839019,0
443,8140823619,0
444,8140780718,0
445,8140710918,0
446,8140680218,0
447,8140664718,0
448,8140620819,0
449,8140600918,0
450,8140585018,0
451,8140582018,0
452,8140512218,0
453,8140499618,0
454,8140321218,0
455,8140282519,0
456,8140148918,0
457,8140085718,0
458,8140049919,0
